"subj","block","cor","setsize","mval"
7,4,0,2,-1.07220820633431
7,4,0,4,-4.18426402016129
7,4,0,6,0.105063114919355
7,4,1,2,-0.84734984562212
7,4,1,4,-2.74185827822581
7,4,1,6,-1.53955088114144
7,5,0,2,-2.22996417358871
7,5,0,4,-1.54334063154194
7,5,0,6,0.368854769354839
7,5,1,2,-1.83949016189826
7,5,1,4,0.00859230205278593
7,5,1,6,-2.30194482437276
8,1,0,2,10.3239001612903
8,1,0,4,1.99851841935484
8,1,0,6,-1.03236809537634
8,1,1,2,-0.216346421854839
8,1,1,4,0.638457614598518
8,1,1,6,-1.87061525672043
8,2,0,2,-4.35237258064516
8,2,0,4,1.38558140604839
8,2,0,6,-1.10036787204301
8,2,1,2,0.156819368320926
8,2,1,4,1.27507663025668
8,2,1,6,-2.48724331548387
8,3,0,4,-1.99083127373272
8,3,0,6,1.44905132078853
8,3,1,2,1.6387101778463
8,3,1,4,-0.866941041705069
8,3,1,6,0.53985962764977
8,4,0,2,-0.666631129032258
8,4,0,4,1.66808224193548
8,4,0,6,0.492088089002933
8,4,1,2,1.39872839443548
8,4,1,4,1.67601715610288
8,4,1,6,0.158954011790879
8,5,0,2,0.0824826451612903
8,5,0,4,2.85715600875576
8,5,0,6,1.83656944771505
8,5,1,2,1.50111924775637
8,5,1,4,2.08789924812695
8,5,1,6,2.42097524137931
9,1,0,2,-0.580349987351443
9,1,0,4,2.98431823945409
9,1,0,6,2.29993121693548
9,1,1,2,1.65589578494624
9,1,1,4,0.68301215483871
9,1,1,6,2.04303499769585
9,2,0,2,1.19964153225806
9,2,0,4,-1.03400828743952
9,2,0,6,-1.18934367095161
9,2,1,2,-1.62398916135753
9,2,1,4,-0.854503024596774
9,2,1,6,0.401351550403226
9,3,0,2,-4.02537983870968
9,3,0,4,1.8483085
9,3,0,6,-2.06798416666667
9,3,1,2,-2.5024447263871
9,3,1,4,-0.265851864369501
9,3,1,6,-0.782682450764007
9,4,0,2,1.59400851612903
9,4,0,4,-0.223724886155914
9,4,0,6,2.54235130107527
9,4,1,2,-1.27061548091398
9,4,1,4,-1.48774058064516
9,4,1,6,1.91273460368664
9,5,0,2,-1.46635622983871
9,5,0,4,0.0970124569892473
9,5,0,6,-1.43721481129032
9,5,1,2,1.61656311176822
9,5,1,4,1.88483544863524
9,5,1,6,2.61428273761521
10,1,0,2,9.66745019892473
10,1,0,4,4.87910516241234
10,1,0,6,3.26284057189826
10,1,1,2,-3.88860873709677
10,1,1,4,4.623169528463
10,1,1,6,-1.81371378467742
10,2,0,2,-6.13681540725806
10,2,0,4,4.8938311516129
10,2,0,6,2.08402659354839
10,2,1,2,1.95531500080645
10,2,1,4,2.8326090686907
10,2,1,6,2.95320416119257
10,3,0,2,11.7084571774194
10,3,0,4,8.71209190322581
10,3,0,6,-0.187352120071685
10,3,1,2,3.7307658884993
10,3,1,4,3.92825981508913
10,3,1,6,3.41579921950786
10,4,0,2,9.72919322580645
10,4,0,4,-3.48402672043011
10,4,0,6,2.90333763333333
10,4,1,2,7.35034386667978
10,4,1,4,4.51175612493796
10,4,1,6,6.9307067616005
10,5,0,2,5.33557269354839
10,5,0,4,3.84900742473118
10,5,0,6,8.43852605806452
10,5,1,2,3.65178486620072
10,5,1,4,3.45943458237059
10,5,1,6,3.53933145882616
11,1,0,2,3.78579212258065
11,1,0,4,-2.75741601209677
11,1,0,6,-3.95645270497312
11,1,1,2,-0.902245946018145
11,1,1,4,-2.74773297614247
11,1,1,6,-3.28737465284178
11,2,0,4,-1.39487389239631
11,2,0,6,-2.88713070794931
11,2,1,2,2.64809951792115
11,2,1,4,-1.05654076606183
11,2,1,6,0.648546278958944
11,3,0,2,10.9414254032258
11,3,0,4,1.42235430058651
11,3,0,6,0.517586562365591
11,3,1,2,4.84621655661847
11,3,1,4,1.72467435462159
11,3,1,6,3.51462984229391
11,4,0,2,-0.454147072580645
11,4,0,4,-0.35032417888563
11,4,0,6,-2.3048399743833
11,4,1,2,0.26872629740958
11,4,1,4,2.84729793784119
11,4,1,6,-0.160986946110057
11,5,0,2,11.1726483870968
11,5,0,4,-0.626138045873656
11,5,0,6,3.78418255645161
11,5,1,2,0.882976888449532
11,5,1,4,0.0399601311544992
11,5,1,6,1.65651462078748
13,1,0,2,0.311467387488479
13,1,0,4,0.0764983398924731
13,1,0,6,1.88377696384872
13,1,1,4,-1.3941326922043
13,1,1,6,4.4453607311828
13,2,0,2,1.84801177419355
13,2,0,4,-1.09442892258065
13,2,0,6,2.10731032560484
13,2,1,2,-0.0785277296466974
13,2,1,4,0.385652960517078
13,2,1,6,1.10067864228831
13,3,0,4,-0.38196970471464
13,3,0,6,-0.480283230107527
13,3,1,2,1.20791808295933
13,3,1,4,-0.754649605191532
13,3,1,6,-1.22736119501008
13,4,0,2,-0.217910177419355
13,4,0,4,-2.02052758870968
13,4,0,6,-1.752085911819
13,4,1,2,-0.621661589132104
13,4,1,4,1.00878678698618
13,4,1,6,0.565328722914349
13,5,0,2,3.89466758064516
13,5,0,4,0.487291290322581
13,5,0,6,0.498718280521092
13,5,1,2,1.60727649390121
13,5,1,4,1.49448117376344
13,5,1,6,0.00748856491935483
14,1,0,2,-8.32872948732719
14,1,0,4,-0.138976935483871
14,1,0,6,-0.0142556134897361
14,1,1,2,-0.705392573978495
14,1,1,4,-2.8566138337469
14,1,1,6,2.00310858163772
14,2,0,2,2.07361288709677
14,2,0,4,1.28338395564516
14,2,0,6,0.0478567578341014
14,2,1,2,0.00766589082661291
14,2,1,4,-4.60966333179724
14,2,1,6,-1.91271705040323
14,3,0,2,-7.88094532258065
14,3,0,4,-8.64409062634409
14,3,0,6,-7.55090944556452
14,3,1,2,-5.33040722208437
14,3,1,4,-1.97638722741935
14,3,1,6,-4.09451588862479
14,4,0,2,-3.88433685483871
14,4,0,4,-4.01577538841642
14,4,0,6,-4.83655520220844
14,4,1,2,-3.68623863857527
14,4,1,4,-3.00322932258065
14,4,1,6,-4.06215695250896
14,5,0,2,-1.6567458516129
14,5,0,4,-4.76128359274194
14,5,0,6,-3.54089722685009
14,5,1,2,-3.25037994989594
14,5,1,4,-4.06729855239832
14,5,1,6,-3.49902630414747
15,1,0,2,3.4188781547619
15,1,0,4,3.36699062333333
15,1,0,6,-3.14342385810474
15,1,1,2,0.124135518569174
15,1,1,4,-3.82365002713514
15,1,1,6,-1.58634642774483
15,2,0,2,1.57678852933333
15,2,0,4,-0.518756019
15,2,0,6,0.42189268975
15,2,1,2,-0.847293748372093
15,2,1,4,0.4247719748
15,2,1,6,-0.507157198871795
15,3,0,4,1.14213977866667
15,3,0,6,-3.09425892185714
15,3,1,2,-2.15039754604255
15,3,1,4,-0.119584281
15,3,1,6,-2.10887715129412
15,4,0,2,2.10060469
15,4,0,4,-2.66655163828571
15,4,0,6,0.0420533434
15,4,1,2,0.282940227956522
15,4,1,4,-0.944473763512195
15,4,1,6,-0.0643822715789474
15,5,0,2,8.75949
