"","subj","setsize","timepoint","meanCDA"
"3587",16,2,344,0.201132158346972
"3588",16,2,348,0.241918175190944
"3589",16,2,352,0.438283812527278
"3590",16,2,356,0.412677953218767
"3591",16,2,360,0.182834942034915
"3592",16,2,364,0.13294039221904
"3593",16,2,368,0.0915409418303328
"3594",16,2,372,-0.0234975648390616
"3595",16,2,376,0.24521609115521
"3596",16,2,380,0.610049231860338
"3597",16,2,384,0.365236417048554
"3598",16,2,388,-0.0387155418303328
"3599",16,2,392,-0.146614120703764
"3600",16,2,396,-0.399329170008183
"3601",16,2,400,-0.67433606957174
"3602",16,2,404,-0.666335669333061
"3603",16,2,408,-0.962800595881069
"3604",16,2,412,-1.38740255388025
"3605",16,2,416,-1.02096067755592
"3606",16,2,420,-0.455995506410256
"3607",16,2,424,-0.438975980496454
"3608",16,2,428,-0.245476188625205
"3609",16,2,432,0.119388599352155
"3610",16,2,436,-0.221833795008183
"3611",16,2,440,-0.683396442716858
"3612",16,2,444,-0.550253177502728
"3613",16,2,448,-0.466684589198036
"3614",16,2,452,-0.602339146617567
"3615",16,2,456,-0.562434561516639
"3616",16,2,460,-0.675389219346699
"3617",16,2,464,-0.926905071076105
"3618",16,2,468,-0.843839664163939
"3619",16,2,472,-0.737511645321877
"3620",16,2,476,-0.727335543917076
"3621",16,2,480,-0.409937611777141
"3622",16,2,484,-0.277856856110202
"3623",16,2,488,-0.69757424235611
"3624",16,2,492,-0.856934099699945
"3625",16,2,496,-0.673808417129705
"3626",16,2,500,-0.726633692239498
"3627",16,2,504,-0.607324448172395
"3628",16,2,508,-0.158898709288052
"3629",16,2,512,-0.121079702877796
"3630",16,2,516,-0.268732402891435
"3631",16,2,520,-0.0426713416530278
"3632",16,2,524,0.0914163880250954
"3633",16,2,528,-0.0148858156710311
"3634",16,2,532,0.0766161766912165
"3635",16,2,536,0.17812930789689
"3636",16,2,540,0.164643307419531
"3637",16,2,544,0.260264568330606
"3638",16,2,548,0.134723417757774
"3639",16,2,552,-0.222085151322968
"3640",16,2,556,-0.0851060469721769
"3641",16,2,560,0.420056700627387
"3642",16,2,564,0.607144904459902
"3643",16,2,568,0.584577158589062
"3644",16,2,572,0.540408057828696
"3645",16,2,576,0.303306494680851
"3646",16,2,580,-0.0169868876636662
"3647",16,2,584,-0.414751266366612
"3648",16,2,588,-0.855110493726132
"3649",16,2,592,-0.828885845881069
"3650",16,2,596,-0.50200270766503
"3651",16,2,600,-0.680415894503546
"3652",16,2,604,-1.00623660992908
"3653",16,2,608,-0.805049320731042
"3654",16,2,612,-0.52834778443808
"3655",16,2,616,-0.432629452877796
"3656",16,2,620,-0.118818140480087
"3657",16,2,624,0.0913120127523186
"3658",16,2,628,-0.188722638175123
"3659",16,2,632,-0.530435395253682
"3660",16,2,636,-0.745319056553464
"3661",16,2,640,-1.07490936840562
"3662",16,2,644,-1.35177120546918
"3663",16,2,648,-1.45936518164212
"3664",16,2,652,-1.46137190007501
"3665",16,2,656,-1.24164174562193
"3666",16,2,660,-0.872748131001091
"3667",16,2,664,-0.56526903525641
