"subj","timepoint","block","setsize","cor","mval"
4,12,2,2,1,-2.06405902439024
4,12,2,4,0,-2.82178125
4,12,2,4,1,-1.25336096774194
4,12,2,6,0,-0.780317619047619
4,12,2,6,1,-1.5124766
4,12,3,2,0,9.80853333333333
4,12,3,2,1,-0.89741575
4,12,3,4,0,-1.17398823529412
4,12,3,4,1,1.39931428571429
4,12,3,6,0,-0.3863404
4,12,3,6,1,0.693354545454545
4,12,4,2,0,-4.0661
4,12,4,2,1,-1.53229857142857
4,12,4,4,0,0.308833529411765
4,12,4,4,1,-1.95867
4,12,4,6,0,-0.6716955
4,12,4,6,1,3.30434846153846
4,12,5,2,0,0.58025875
4,12,5,2,1,-2.34187575757576
4,12,5,4,0,-0.983762222222222
4,12,5,4,1,0.703664461538462
4,12,5,6,0,-2.82626117647059
4,12,5,6,1,-0.350486363636364
4,16,1,2,0,3.95984481818182
4,16,1,2,1,-1.78718
4,16,1,4,0,-3.63646
4,16,1,4,1,-3.0759362
4,16,1,6,0,-0.180569625
4,16,1,6,1,-1.1772637037037
4,16,2,2,0,3.79247142857143
4,16,2,2,1,-2.13632682926829
4,16,2,4,0,-2.860268125
4,16,2,4,1,-1.69011935483871
4,16,2,6,0,-1.51502980952381
4,16,2,6,1,-1.1875672
4,16,3,2,0,11.1748666666667
4,16,3,2,1,-1.39824475
4,16,3,4,0,-0.643194529411765
4,16,3,4,1,2.08354678571429
4,16,3,6,0,-0.3856804
4,16,3,6,1,-0.803408181818182
4,16,4,2,0,-3.21855
4,16,4,2,1,-1.50857
4,16,4,4,0,1.14071411764706
4,16,4,4,1,-2.15377055555556
4,16,4,6,0,-0.36543025
4,16,4,6,1,3.50123846153846
4,16,5,2,0,0.13494875
4,16,5,2,1,-1.8817303030303
4,16,5,4,0,-0.948333333333333
4,16,5,4,1,0.793041153846154
4,16,5,6,0,-3.63010294117647
4,16,5,6,1,-1.044195
4,20,1,2,0,3.48225454545455
4,20,1,2,1,-1.61350139354839
4,20,1,4,0,-2.753234375
4,20,1,4,1,-2.93033633333333
4,20,1,6,0,-1.30223125
4,20,1,6,1,-1.35013751851852
4,20,2,2,0,3.44755714285714
4,20,2,2,1,-2.0396787804878
4,20,2,4,0,-2.546080625
4,20,2,4,1,-1.80364132258065
4,20,2,6,0,-1.6425
4,20,2,6,1,-1.0311996
4,20,3,2,0,11.0558666666667
4,20,3,2,1,-1.93028575
4,20,3,4,0,-0.710725882352941
4,20,3,4,1,2.5445075
4,20,3,6,0,-0.5867724
4,20,3,6,1,-2.09938818181818
4,20,4,2,0,-1.26235
4,20,4,2,1,-1.54162505714286
4,20,4,4,0,1.57272411764706
4,20,4,4,1,-1.87261305555556
4,20,4,6,0,-0.3412725
4,20,4,6,1,3.39926692307692
4,20,5,2,0,0.57427875
4,20,5,2,1,-1.62805661818182
4,20,5,4,0,-1.00674666666667
4,20,5,4,1,1.08467192307692
4,20,5,6,0,-4.42493529411765
4,20,5,6,1,-1.61403909090909
4,24,1,2,0,3.44677
4,24,1,2,1,-1.12448774193548
4,24,1,4,0,-2.125656875
4,24,1,4,1,-3.28689933333333
4,24,1,6,0,-0.41848125
4,24,1,6,1,-2.13130296296296
4,24,2,2,0,3.45028714285714
4,24,2,2,1,-1.93955853658537
4,24,2,4,0,-2.3046125
4,24,2,4,1,-1.74403
4,24,2,6,0,-2.36115714285714
4,24,2,6,1,-1.2812408
4,24,3,2,0,11.239
4,24,3,2,1,-1.660006
4,24,3,4,0,-1.231113
4,24,3,4,1,2.39929857142857
4,24,3,6,0,-0.3376392
4,24,3,6,1,-2.48884272727273
4,24,4,2,0,-2.77725
4,24,4,2,1,-1.75624828571429
4,24,4,4,0,0.931868235294118
4,24,4,4,1,-1.76330055555556
4,24,4,6,0,-0.634705
4,24,4,6,1,2.80201692307692
4,24,5,2,0,1.36884375
4,24,5,2,1,-1.19186484848485
4,24,5,4,0,-0.250388888888889
4,24,5,4,1,1.14702115384615
4,24,5,6,0,-4.28228622941176
4,24,5,6,1,-1.60244454545455
4,28,1,2,0,3.86984272727273
4,28,1,2,1,-0.99746335483871
4,28,1,4,0,-3.156517875
4,28,1,4,1,-4.17353833333333
4,28,1,6,0,1.037049
4,28,1,6,1,-2.59722222222222
4,28,2,2,0,4.00988571428571
4,28,2,2,1,-1.94122
4,28,2,4,0,-2.026650625
4,28,2,4,1,-2.01008064516129
4,28,2,6,0,-3.57602666666667
4,28,2,6,1,-1.364420256
4,28,3,2,0,11.4713
4,28,3,2,1,-1.4451145
4,28,3,4,0,-1.17135711764706
4,28,3,4,1,1.52529310714286
4,28,3,6,0,0.00602919999999998
4,28,3,6,1,-2.65964045454545
